aX,aY,aZ,gX,gY,gZ
0.174,0.627,-1.965,80.994,51.025,35.828
0.167,0.569,-2.005,105.164,44.434,21.484
0.171,0.411,-1.976,126.831,20.935,-1.404
0.182,0.240,-1.862,142.822,-8.301,-24.231
0.176,0.053,-1.753,152.222,-32.654,-38.025
0.139,-0.073,-1.735,154.419,-39.246,-37.048
0.078,-0.118,-1.855,154.602,-23.437,-23.132
0.018,-0.108,-2.043,157.776,3.113,-7.202
-0.030,0.028,-2.194,172.058,29.602,3.174
-0.039,0.189,-2.294,197.632,46.814,4.089
0.016,0.245,-2.218,235.718,43.030,-9.460
0.096,0.094,-1.975,270.508,5.493,-39.551
0.134,-0.167,-1.588,283.508,-61.768,-74.890
0.154,-0.329,-1.213,273.499,-129.089,-96.313
0.138,-0.496,-0.923,256.287,-170.959,-99.792
0.135,-0.416,-0.723,238.464,-170.227,-80.627
0.157,-0.234,-0.517,228.455,-140.503,-52.429
0.158,-0.093,-0.359,229.065,-111.084,-34.973
0.150,0.046,-0.186,235.962,-87.097,-27.039
0.141,0.081,0.080,250.977,-68.665,-23.682
0.106,0.058,0.375,257.935,-58.655,-23.437
0.086,0.309,0.697,246.277,-53.650,-24.780
0.112,0.558,0.995,228.577,-44.128,-29.724
0.323,0.713,1.247,210.205,-22.888,-35.278
0.606,0.761,1.438,185.669,1.892,-36.560
0.924,0.768,1.592,167.969,31.860,-32.166
1.386,0.625,1.817,173.035,57.556,-28.687
2.009,0.273,2.310,197.144,48.096,-34.546
2.474,-0.190,3.141,214.966,-24.658,-46.936
2.378,-0.818,3.896,204.224,-146.240,-67.383
1.727,-1.241,4.000,125.916,-279.663,-85.266
0.939,-0.991,4.000,1.648,-339.661,-74.951
0.347,-0.399,3.618,-90.698,-257.568,-30.212
0.020,0.028,2.712,-124.878,-97.839,21.729
0.075,0.564,1.888,-151.428,15.076,53.467
0.092,0.982,1.307,-174.500,45.715,45.715
0.218,1.140,1.018,-177.734,5.371,9.705
0.230,1.180,0.953,-174.072,-47.363,-20.325
0.273,1.133,0.929,-166.931,-78.796,-43.030
0.352,1.098,0.862,-161.255,-79.102,-57.556
0.429,1.101,0.810,-149.292,-60.486,-63.782
0.559,0.885,0.807,-128.601,-33.813,-68.665
0.710,0.569,0.787,-118.164,-5.859,-67.383
0.796,0.500,0.761,-125.427,9.521,-54.138
0.791,0.583,0.722,-135.559,18.250,-32.532
0.714,0.623,0.639,-138.550,32.715,-13.489
0.604,0.677,0.466,-135.925,53.894,0.183
0.520,0.777,0.222,-128.479,74.158,7.568
0.432,0.815,-0.016,-114.014,85.693,4.395
0.342,0.757,-0.154,-89.844,88.684,-5.432
0.282,0.531,-0.221,-59.265,98.999,-14.038
0.364,0.066,-0.260,-40.649,119.446,-10.193
0.436,-0.118,-0.302,-62.866,121.216,11.414
0.412,0.027,-0.455,-121.521,89.417,35.645
0.392,0.172,-0.559,-175.110,37.964,36.377
0.365,0.210,-0.563,-202.698,-8.911,22.644
0.311,0.207,-0.508,-209.045,-33.142,12.634
0.243,0.206,-0.485,-207.153,-35.400,6.348
0.130,0.194,-0.560,-197.205,-16.724,1.709
0.010,0.224,-0.646,-172.119,23.132,1.770
-0.046,0.268,-0.747,-140.320,76.172,0.183
0.003,0.168,-0.884,-112.793,123.108,-5.981
0.172,0.000,-1.015,-92.468,145.996,-12.634
0.391,-0.163,-1.067,-91.797,129.700,-15.320
0.503,-0.088,-1.061,-120.789,73.303,-19.592
0.551,0.000,-1.023,-153.564,6.897,-33.875
0.540,-0.032,-0.946,-164.368,-28.503,-45.349
0.503,-0.006,-0.942,-160.339,-19.226,-35.522
0.482,0.101,-1.034,-148.560,20.142,-11.963
0.502,0.256,-1.201,-132.263,61.218,9.827
0.558,0.396,-1.352,-113.281,80.200,18.860
0.614,0.470,-1.387,-93.872,68.665,11.536
0.653,0.484,-1.295,-73.486,39.307,-5.066
0.649,0.443,-1.135,-56.580,10.986,-21.545
0.665,0.287,-0.986,-46.143,-3.845,-32.104
0.646,0.180,-0.884,-45.715,-5.676,-27.832
0.563,0.304,-0.902,-56.885,3.662,-7.812
0.493,0.468,-1.031,-66.223,25.818,13.062
0.494,0.589,-1.179,-59.509,49.194,26.245
0.521,0.666,-1.277,-45.776,59.509,30.579
0.547,0.703,-1.308,-32.654,51.880,24.414
0.565,0.701,-1.254,-20.813,31.921,10.742
0.566,0.668,-1.099,-10.010,9.888,-3.479
0.505,0.579,-0.990,-3.296,-2.808,-12.268
0.609,0.543,-0.866,-0.122,-11.536,-25.574
0.525,0.477,-0.771,-8.484,-14.038,-23.560
0.524,0.494,-0.756,-16.968,-3.601,-11.658
0.509,0.548,-0.825,-20.935,17.639,3.540
0.500,0.606,-0.941,-22.766,40.222,20.203
0.533,0.710,-1.014,-18.982,53.101,27.893
0.521,0.752,-1.059,-12.207,53.650,27.954
0.546,0.775,-1.055,-2.075,43.396,20.020
0.577,0.773,-0.987,7.080,25.513,7.874
0.610,0.692,-0.885,14.099,6.226,-7.019
0.648,0.606,-0.768,16.235,-10.437,-20.508
0.670,0.503,-0.652,13.794,-22.583,-27.832
0.671,0.442,-0.549,8.972,-26.428,-26.123
0.655,0.427,-0.497,2.502,-19.470,-15.991
0.649,0.434,-0.506,-2.441,-4.944,-3.296
0.642,0.461,-0.555,-4.517,10.315,10.010
0.625,0.503,-0.619,-5.798,20.386,19.531
0.605,0.543,-0.691,-6.042,24.292,23.621
0.587,0.579,-0.755,-4.578,24.231,23.254
0.571,0.614,-0.799,-2.136,20.264,19.592
0.555,0.620,-0.807,1.770,13.062,12.878
0.549,0.591,-0.779,4.578,3.662,4.272
0.548,0.542,-0.737,5.188,-3.784,-2.625
0.544,0.504,-0.700,3.723,-7.080,-4.822
0.538,0.478,-0.680,0.671,-6.226,-2.930
0.521,0.485,-0.673,-2.319,-2.441,2.686
0.511,0.500,-0.680,-3.052,3.296,9.338
0.501,0.515,-0.688,-1.160,9.216,14.709
0.492,0.541,-0.679,0.549,11.719,17.456
0.480,0.551,-0.670,0.732,10.254,15.808
0.472,0.554,-0.676,0.366,5.981,10.742
0.495,0.546,-0.677,1.282,0.854,4.517
0.520,0.529,-0.679,2.136,-3.052,-1.282
0.548,0.499,-0.675,1.038,-5.859,-5.432
0.563,0.470,-0.658,0.305,-6.531,-6.226

0.876,0.065,2.307,178.711,7.812,20.203
1.016,-0.090,2.737,181.641,-2.991,22.522
0.886,-0.370,3.227,178.772,-51.392,10.681
0.599,-0.617,3.578,135.315,-118.713,-15.442
0.378,-0.557,3.506,39.001,-167.725,-42.603
0.262,-0.217,3.069,-55.725,-161.194,-46.265
0.189,0.141,2.427,-105.286,-91.736,-18.066
0.176,0.505,1.746,-116.333,2.625,22.766
0.144,0.799,1.145,-119.263,65.063,46.204
0.256,1.080,0.652,-122.559,79.895,48.462
0.268,1.182,0.438,-112.854,73.425,39.063
0.278,1.188,0.453,-100.342,43.396,16.113
0.304,1.156,0.606,-96.375,3.357,-9.888
0.330,1.094,0.788,-94.666,-29.419,-34.058
0.337,1.030,0.972,-91.309,-39.978,-48.157
0.367,0.935,1.117,-83.069,-28.259,-51.636
0.411,0.832,1.184,-75.928,-3.113,-47.729
0.451,0.794,1.187,-70.862,26.123,-41.321
0.473,0.756,1.119,-69.031,54.443,-34.668
0.506,0.731,1.028,-66.650,81.116,-30.457
0.505,0.681,0.894,-67.261,104.065,-25.940
0.547,0.578,0.746,-68.542,121.399,-19.470
0.561,0.544,0.588,-77.271,127.136,-7.690
0.540,0.619,0.442,-92.529,119.202,4.089
0.521,0.654,0.341,-106.506,101.685,5.859
0.522,0.638,0.270,-115.417,83.801,-0.244
0.517,0.614,0.222,-118.408,71.777,-4.395
0.483,0.568,0.188,-117.310,66.650,-5.188
0.428,0.536,0.140,-113.464,70.190,-4.211
0.342,0.531,0.073,-105.896,81.970,0.244
0.279,0.490,-0.000,-97.168,98.267,5.310
0.244,0.480,-0.063,-87.036,113.953,7.690
0.222,0.387,-0.140,-84.412,123.535,9.033
0.250,0.232,-0.194,-94.299,119.812,7.690
0.300,0.084,-0.242,-117.798,98.694,4.333
0.309,0.076,-0.267,-152.527,64.331,4.578
0.281,0.138,-0.302,-184.448,32.776,2.258
0.271,0.206,-0.320,-200.867,15.076,-3.052
0.253,0.224,-0.345,-201.416,12.878,-8.301
0.198,0.180,-0.381,-190.918,25.574,-10.620
0.132,0.128,-0.427,-174.561,51.697,-8.118
0.097,0.111,-0.506,-157.898,87.708,-2.197
0.086,0.120,-0.636,-143.799,121.582,2.319
0.150,0.106,-0.744,-130.981,139.221,0.671
0.314,-0.010,-0.809,-126.038,135.010,-9.521
0.520,-0.169,-0.837,-141.724,103.088,-23.315
0.662,-0.210,-0.802,-175.232,44.434,-36.377
0.655,-0.155,-0.786,-210.754,-11.902,-43.762
0.608,-0.119,-0.798,-223.267,-34.058,-41.260
0.512,-0.131,-0.883,-210.937,-18.372,-26.001
0.430,-0.093,-1.053,-188.171,24.170,1.648
0.411,0.017,-1.278,-168.518,73.486,29.846
0.474,0.157,-1.500,-152.832,105.591,44.312
0.575,0.280,-1.661,-139.709,111.023,43.579
0.686,0.374,-1.705,-124.573,91.003,32.227
0.730,0.360,-1.642,-108.521,55.603,15.625
0.675,0.302,-1.516,-96.985,19.775,4.639
0.528,0.384,-1.425,-94.604,-2.136,6.897
0.365,0.546,-1.431,-92.773,-1.160,15.930
0.283,0.701,-1.513,-83.191,18.616,24.414
0.315,0.798,-1.611,-64.087,40.222,25.696
0.403,0.822,-1.652,-41.016,45.959,17.090
0.490,0.773,-1.566,-17.944,31.921,0.244
0.575,0.675,-1.385,-0.122,8.118,-18.311
0.643,0.570,-1.189,10.315,-11.169,-29.724
0.689,0.497,-1.009,15.320,-21.362,-30.640
0.690,0.467,-0.859,16.052,-24.475,-24.414
0.660,0.473,-0.749,13.916,-20.691,-14.099
0.648,0.488,-0.713,11.719,-10.193,-3.174
0.506,0.477,-0.630,11.047,0.244,0.427
0.604,0.578,-0.729,6.714,10.559,14.832
0.594,0.561,-0.719,11.597,20.752,11.902
0.626,0.542,-0.737,9.888,18.311,6.470
0.655,0.535,-0.722,7.446,11.414,3.662
0.662,0.519,-0.686,7.751,5.981,1.099
0.656,0.500,-0.658,6.653,4.578,1.953
0.650,0.485,-0.642,4.150,4.456,3.601
0.604,0.490,-0.639,1.587,4.578,5.615
0.559,0.513,-0.664,0.122,7.690,10.681
0.526,0.535,-0.691,-0.488,12.207,13.306
0.510,0.558,-0.728,-1.587,15.808,13.611
0.514,0.568,-0.762,-2.441,17.273,11.047
0.524,0.566,-0.784,-3.174,14.099,6.104
0.528,0.557,-0.789,-3.967,6.775,0.305
0.537,0.522,-0.772,-4.456,-0.610,-4.883
0.551,0.483,-0.743,-4.822,-4.700,-7.080
0.562,0.451,-0.723,-6.409,-5.798,-6.042
0.559,0.438,-0.705,-7.812,-5.554,-3.723
0.535,0.436,-0.698,-8.667,-4.639,-0.122
0.513,0.436,-0.697,-7.935,-2.869,3.540
0.500,0.449,-0.698,-6.226,0.366,7.324
0.483,0.457,-0.709,-4.639,4.456,10.742
0.473,0.477,-0.732,-4.089,7.629,12.024
0.465,0.499,-0.757,-3.845,8.240,10.925
0.468,0.511,-0.776,-3.662,7.080,7.751
0.486,0.504,-0.783,-2.991,4.333,3.357
0.513,0.485,-0.783,-2.563,1.709,-0.305
0.538,0.464,-0.783,-2.686,-0.183,-2.563
0.553,0.456,-0.774,-1.953,-1.221,-3.357
0.563,0.431,-0.750,0.671,-1.465,-3.052
0.563,0.419,-0.720,3.113,-0.916,-0.854
0.540,0.426,-0.690,3.723,-0.916,2.625
0.503,0.436,-0.678,2.502,0.244,6.348
0.475,0.464,-0.700,1.038,4.272,10.559
0.461,0.492,-0.737,0.549,9.644,14.648
0.463,0.526,-0.773,1.770,14.343,17.395
0.466,0.546,-0.805,3.723,16.235,17.700
0.476,0.553,-0.824,4.822,13.611,14.465
0.492,0.543,-0.825,4.395,6.836,8.118
0.505,0.525,-0.812,3.235,-0.671,1.465
0.517,0.499,-0.797,2.380,-4.761,-2.625
0.530,0.487,-0.786,2.991,-5.676,-4.211
0.534,0.483,-0.784,3.906,-4.578,-3.235
0.535,0.484,-0.774,5.371,-2.808,-1.221
0.534,0.489,-0.755,7.507,-1.038,0.427
0.527,0.487,-0.735,9.521,0.610,2.075
0.519,0.489,-0.723,10.010,1.465,3.113
0.507,0.489,-0.722,9.155,1.099,2.747
0.506,0.492,-0.727,8.179,0.793,1.770

1.059,-0.158,2.251,197.571,-100.098,-1.953
1.060,-0.402,2.775,180.542,-147.339,-10.620
0.896,-0.693,3.265,153.259,-195.679,-18.860
0.641,-0.913,3.567,98.450,-230.347,-21.118
0.444,-0.792,3.499,25.452,-216.309,-10.315
0.351,-0.452,3.023,-39.307,-144.714,15.686
0.169,-0.160,2.371,-79.224,-47.363,45.349
0.323,0.339,1.586,-106.628,34.973,76.660
0.261,0.656,1.023,-113.403,82.520,82.092
0.347,0.851,0.624,-116.211,71.472,56.885
0.394,0.907,0.465,-116.516,30.396,23.804
0.419,0.920,0.478,-109.741,-11.047,-3.113
0.448,0.920,0.562,-100.647,-35.950,-19.348
0.485,0.876,0.680,-89.600,-44.189,-28.564
0.514,0.802,0.786,-79.834,-41.199,-30.334
0.515,0.747,0.852,-73.853,-31.677,-25.513
0.494,0.703,0.883,-70.313,-20.386,-18.311
0.451,0.669,0.914,-67.993,-9.705,-13.489
0.405,0.618,0.919,-66.711,-0.244,-13.000
0.373,0.597,0.919,-67.566,7.568,-16.357
0.355,0.586,0.894,-70.618,13.794,-20.569
0.344,0.536,0.863,-75.378,19.226,-24.658
0.370,0.465,0.826,-82.458,24.841,-27.649
0.393,0.393,0.772,-93.689,31.006,-25.208
0.396,0.392,0.703,-106.323,39.307,-16.296
0.391,0.426,0.615,-116.089,51.025,-6.409
0.384,0.466,0.510,-119.202,65.918,2.197
0.363,0.523,0.385,-117.065,79.468,10.254
0.352,0.567,0.276,-111.694,85.999,11.536
0.344,0.582,0.204,-104.248,86.182,6.653
0.323,0.588,0.155,-95.032,85.205,0.427
0.324,0.569,0.130,-83.679,85.449,-5.127
0.325,0.489,0.128,-75.684,87.219,-11.841
0.365,0.336,0.139,-78.003,89.355,-15.686
0.386,0.242,0.122,-95.825,86.487,-12.207
