aX,aY,aZ,gX,gY,gZ
0.288,1.234,1.548,70.740,-9.155,-15.076
0.314,1.355,1.627,72.998,-15.198,-16.724
0.253,1.478,1.678,75.439,-12.451,-13.733
0.134,1.630,1.695,77.148,-3.296,2.319
-0.059,1.795,1.641,78.064,11.536,28.992
-0.298,1.889,1.490,76.782,26.794,52.124
-0.481,1.933,1.319,73.364,30.212,48.523
-0.594,1.882,1.177,68.604,13.916,7.690
-0.708,1.642,1.033,64.514,-14.954,-51.392
-0.875,1.219,0.850,62.012,-38.391,-97.412
-1.118,0.691,0.597,63.293,-37.170,-118.042
-1.417,0.066,0.282,62.744,-13.123,-115.051
-1.760,-0.606,-0.099,61.340,20.020,-110.168
-2.064,-1.481,-0.519,63.904,51.697,-139.221
-2.353,-2.409,-0.881,78.674,74.646,-216.614
-2.386,-3.492,-1.252,120.911,84.167,-306.458
-2.166,-4.000,-1.265,161.072,91.187,-390.015
-1.682,-4.000,-1.100,199.402,114.380,-454.102
-0.370,-4.000,-0.865,230.469,160.461,-482.910
1.082,-4.000,-0.789,227.661,202.148,-456.787
2.471,-3.151,-0.599,219.788,209.412,-398.926
3.816,-2.473,-0.094,215.271,109.253,-360.901
3.546,-2.909,0.286,173.035,-65.002,-338.501
1.988,-3.075,0.714,88.074,-250.000,-224.670
0.588,-2.453,1.202,9.277,-343.201,11.597
-0.728,-2.052,1.540,-79.590,-265.808,230.896
-2.182,-1.582,1.623,-139.099,-112.183,342.896
-2.485,-1.069,1.338,-139.282,19.226,370.911
-2.236,-0.885,0.758,-153.870,97.290,317.749
-1.834,-0.967,0.023,-202.209,83.374,239.441
-1.514,-0.934,-0.440,-230.835,19.165,178.589
-1.333,-0.830,-0.570,-223.145,-41.016,137.634
-1.228,-0.779,-0.477,-198.181,-76.843,107.361
-1.101,-0.692,-0.300,-173.645,-91.980,83.435
-0.986,-0.615,-0.156,-155.945,-86.914,71.045
-0.835,-0.518,-0.008,-139.771,-74.768,66.772
-0.735,-0.419,0.148,-123.779,-61.951,68.787
-0.667,-0.346,0.281,-110.168,-45.837,76.355
-0.604,-0.340,0.364,-95.947,-25.024,81.665
-0.518,-0.393,0.390,-82.153,-3.723,80.750
-0.450,-0.401,0.399,-71.350,10.254,74.463
-0.415,-0.329,0.524,-75.012,15.564,66.956
-0.361,-0.366,0.566,-74.219,0.549,65.002
-0.276,-0.328,0.625,-67.810,-5.798,58.228
-0.142,-0.280,0.729,-61.279,-8.728,50.537
-0.050,-0.271,0.813,-52.979,-6.897,52.368
0.001,-0.257,0.875,-41.565,2.747,61.768
0.017,-0.199,0.918,-29.480,13.855,72.266
-0.031,-0.161,0.937,-20.264,21.912,82.336
-0.055,-0.160,0.915,-15.137,28.381,88.257
-0.118,-0.166,0.906,-13.855,27.832,76.477
-0.132,-0.135,0.893,-16.479,19.531,56.396
-0.078,-0.034,0.964,-21.484,8.118,41.687
-0.005,0.082,1.031,-18.188,0.122,28.442
0.099,0.153,1.097,-11.719,-2.502,15.564
0.211,0.203,1.174,-5.615,-4.456,7.141
0.247,0.251,1.249,-1.343,-10.803,4.700
0.221,0.249,1.282,-2.014,-17.944,6.897
0.154,0.208,1.284,-4.333,-21.240,8.423
0.089,0.138,1.266,-6.165,-20.569,8.728
0.023,0.068,1.235,-10.254,-18.066,10.132
-0.028,-0.014,1.209,-14.771,-14.709,11.902
-0.084,-0.041,1.195,-17.761,-8.911,13.550
-0.096,-0.014,1.186,-22.461,0.122,15.625
-0.050,0.053,1.147,-31.494,14.526,19.409
-0.002,0.130,1.110,-36.987,26.917,23.804
0.046,0.214,1.081,-36.255,31.372,25.513
0.054,0.256,1.069,-33.569,26.245,23.865
0.028,0.268,1.070,-30.396,14.771,20.630
-0.009,0.257,1.089,-27.527,3.296,15.137
-0.036,0.220,1.099,-23.987,-2.930,9.949
-0.062,0.169,1.095,-20.386,-3.479,6.042
-0.086,0.090,1.074,-18.677,-1.709,5.859
-0.098,0.075,1.051,-15.503,0.916,7.202
-0.110,0.072,1.032,-11.719,4.761,10.071
-0.101,0.054,1.029,-9.399,9.460,16.235
-0.113,0.094,1.040,-7.324,13.306,24.048
-0.122,0.128,1.042,-6.775,17.029,30.090
-0.117,0.148,1.023,-7.385,21.484,31.006
-0.102,0.146,0.998,-7.019,24.170,28.809
-0.088,0.142,0.977,-4.700,23.376,24.658
-0.085,0.131,0.964,-1.892,20.203,20.142
-0.100,0.106,0.963,0.732,16.296,16.785
-0.104,0.067,0.967,1.892,12.207,13.611
-0.103,0.044,0.971,1.953,8.545,9.644
-0.105,0.026,0.974,1.648,5.493,5.310
-0.097,0.015,0.975,2.014,3.601,2.014
-0.074,-0.019,0.987,3.174,1.953,0.122
-0.061,-0.043,1.009,5.188,-0.244,-0.366
-0.055,-0.073,1.030,5.432,-1.709,1.465
-0.050,-0.079,1.044,4.517,-1.038,4.089
-0.055,-0.081,1.050,3.235,2.258,6.897
-0.055,-0.080,1.035,1.160,7.812,8.606
-0.058,-0.077,1.010,-0.916,13.000,9.155
-0.069,-0.075,0.978,-1.465,15.930,9.338
-0.073,-0.058,0.963,-0.732,16.174,7.996
-0.075,-0.061,0.959,0.061,15.320,5.554
-0.065,-0.071,0.967,1.099,13.123,2.075
-0.049,-0.089,0.979,2.014,10.254,-1.770
-0.027,-0.103,0.989,1.892,8.423,-4.395
-0.008,-0.127,0.996,1.099,7.874,-4.700
0.001,-0.128,1.000,0.854,8.423,-3.113
0.014,-0.129,1.000,0.305,10.254,0.427
0.006,-0.139,0.996,-0.854,11.536,4.028
0.016,-0.123,0.985,-0.610,12.390,6.226
0.010,-0.114,0.972,-0.854,12.329,8.118
0.002,-0.107,0.959,-1.038,11.414,9.521
-0.002,-0.102,0.955,-0.549,10.681,9.644
-0.007,-0.101,0.958,0.244,9.460,8.301
-0.011,-0.101,0.961,1.404,7.996,6.592
-0.016,-0.096,0.960,1.831,6.653,4.578
-0.023,-0.099,0.959,2.014,5.127,2.563
-0.017,-0.114,0.962,2.014,3.845,0.793
-0.008,-0.129,0.967,2.380,2.930,-0.549
-0.001,-0.137,0.969,3.174,2.319,-1.282
-0.000,-0.136,0.969,4.333,1.770,-1.282
-0.005,-0.141,0.964,4.517,1.343,-0.854
-0.003,-0.138,0.958,5.554,0.854,-0.610
0.007,-0.152,0.965,6.897,0.793,0.183

0.312,0.767,1.385,52.551,32.654,9.155
0.314,0.776,1.293,46.936,22.034,-5.310
0.289,0.795,1.211,42.297,4.639,-17.029
0.298,0.797,1.219,43.823,-10.437,-20.996
0.313,0.922,1.303,50.659,-18.433,-12.024
