aX,aY,aZ,gX,gY,gZ
0.600,0.341,1.407,-91.492,5.798,-12.146
0.571,0.287,1.505,-106.140,13.306,-12.207
0.551,0.212,1.617,-110.046,21.545,-19.531
0.598,0.200,1.736,-98.389,25.391,-34.058
0.635,0.216,1.942,-77.637,30.334,-54.993
0.653,0.287,2.103,-54.932,28.870,-74.951
0.599,0.434,2.161,-36.377,19.043,-90.149
0.496,0.508,2.173,-21.057,7.202,-98.450
0.399,0.527,2.194,-13.184,-2.136,-97.412
0.290,0.473,2.236,-15.381,-10.071,-91.553
0.220,0.427,2.261,-22.095,-19.287,-88.440
0.159,0.422,2.226,-30.396,-32.288,-89.294
0.095,0.450,2.100,-30.945,-48.706,-90.454
0.019,0.483,1.959,-25.452,-60.730,-92.896
-0.061,0.518,1.830,-18.677,-64.514,-94.604
-0.173,0.558,1.725,-9.888,-63.965,-97.351
-0.265,0.601,1.605,5.554,-63.721,-102.539
-0.349,0.643,1.500,25.269,-62.561,-106.384
-0.421,0.683,1.395,41.504,-60.791,-108.215
-0.485,0.705,1.281,50.659,-57.983,-105.835
-0.532,0.722,1.185,53.284,-54.932,-99.365
-0.568,0.704,1.117,53.711,-51.758,-90.820
-0.585,0.654,1.024,54.810,-50.598,-81.421
-0.586,0.597,0.948,55.359,-50.415,-72.754
-0.579,0.520,0.895,56.335,-48.706,-65.857
-0.568,0.413,0.823,58.838,-48.035,-61.462
-0.550,0.364,0.716,59.814,-44.617,-60.364
-0.561,0.343,0.641,65.613,-39.917,-62.866
-0.565,0.330,0.527,81.970,-40.466,-66.040
-0.575,0.375,0.411,92.712,-38.147,-66.345
-0.610,0.427,0.320,94.482,-32.715,-61.401
-0.620,0.437,0.244,91.980,-27.649,-50.842
-0.602,0.415,0.216,82.520,-21.484,-36.926
-0.561,0.369,0.220,65.430,-15.564,-22.156
-0.500,0.306,0.271,48.096,-8.850,-9.338
-0.432,0.184,0.330,36.865,-2.808,-0.854
-0.359,0.136,0.376,30.212,1.770,2.747
-0.307,0.070,0.437,29.236,6.287,3.479
-0.257,0.062,0.517,29.419,9.155,0.732
-0.224,0.067,0.546,33.325,9.399,-2.441
-0.195,0.109,0.582,31.372,12.634,-3.906
-0.178,0.148,0.623,24.719,15.320,-2.930
-0.147,0.186,0.662,17.700,16.541,0.000
-0.120,0.203,0.704,12.085,16.785,4.578
-0.085,0.187,0.741,5.615,16.296,9.827
-0.039,0.162,0.770,-1.160,15.747,13.916
0.002,0.136,0.817,-5.432,16.113,15.442
0.044,0.107,0.888,-7.385,17.761,14.282
0.084,0.089,0.986,-7.263,18.677,11.353
0.106,0.085,1.088,-5.127,17.029,7.080
0.110,0.087,1.143,-0.549,11.597,2.136
0.097,0.123,1.130,3.906,2.808,-1.526
0.070,0.187,1.095,3.662,-6.226,-2.502
0.036,0.233,1.049,-0.122,-14.526,-0.305
