aX,aY,aZ,gX,gY,gZ
0.009,0.126,2.211,39.795,3.784,4.211
0.004,0.048,2.015,34.302,-15.625,8.362
0.000,0.004,1.826,29.968,-26.306,8.484
0.029,-0.005,1.640,32.349,-27.710,6.287
0.040,-0.007,1.492,45.959,-21.179,2.258
0.072,-0.006,1.450,68.237,-6.836,-1.953
0.098,-0.032,1.505,93.872,10.742,-7.080
0.131,-0.093,1.600,118.225,24.963,-12.695
0.134,-0.165,1.672,135.742,31.860,-18.555
0.132,-0.215,1.729,145.203,32.837,-24.414
0.125,-0.195,1.717,148.071,26.794,-30.151
0.129,-0.100,1.662,142.700,15.991,-33.997
0.149,-0.016,1.545,130.981,2.380,-33.203
0.190,-0.002,1.372,117.371,-11.963,-28.259
0.242,-0.067,1.174,103.516,-23.071,-21.667
0.288,-0.227,1.005,92.773,-27.954,-16.602
0.339,-0.373,0.865,87.341,-26.794,-15.869
0.362,-0.439,0.726,83.862,-23.132,-20.752
0.424,-0.470,0.693,78.918,-16.418,-29.724
0.397,-0.440,0.814,77.209,-6.836,-44.250
0.436,-0.398,0.916,90.637,-2.808,-60.059
0.404,-0.303,0.912,110.535,-9.888,-75.928
0.428,-0.141,0.787,125.854,-22.339,-88.928
0.393,0.042,0.597,126.038,-36.560,-97.900
0.379,0.184,0.411,115.845,-47.791,-99.976
0.350,0.235,0.304,102.905,-52.368,-96.313
0.291,0.276,0.196,88.318,-56.335,-89.539
0.250,0.277,0.044,77.698,-59.692,-80.872
0.232,0.222,-0.098,68.481,-59.387,-71.960
0.217,0.184,-0.192,55.237,-54.199,-65.369
0.191,0.151,-0.289,44.739,-46.875,-60.669
0.192,0.096,-0.322,40.955,-37.170,-57.373
0.174,0.044,-0.249,43.091,-22.644,-57.617
0.155,0.036,-0.184,50.537,-10.315,-60.120
0.140,0.070,-0.228,56.519,-5.981,-62.439
0.090,0.143,-0.269,53.101,-2.747,-62.683
0.052,0.237,-0.248,40.222,2.991,-59.082
0.023,0.293,-0.219,26.550,8.484,-50.415
0.004,0.300,-0.253,15.137,10.193,-37.720
0.010,0.212,-0.309,5.920,11.780,-23.987
0.023,0.054,-0.320,-0.977,18.066,-12.390
0.039,-0.108,-0.274,-6.470,27.100,-6.775
0.028,-0.210,-0.220,-11.108,34.912,-7.446
0.021,-0.229,-0.169,-18.372,40.710,-12.329
-0.017,-0.222,-0.125,-27.283,45.837,-16.296
-0.037,-0.177,-0.083,-35.889,50.354,-19.043
-0.037,-0.137,-0.058,-43.335,54.199,-19.592
-0.024,-0.100,-0.012,-52.795,58.044,-18.860
-0.016,-0.077,0.085,-64.819,62.073,-17.883
-0.020,-0.072,0.199,-78.064,65.063,-17.273
-0.023,-0.062,0.296,-88.806,64.880,-16.602
-0.035,-0.100,0.425,-91.553,63.721,-15.869
-0.065,-0.154,0.540,-89.783,63.354,-15.747
-0.103,-0.174,0.626,-94.727,59.448,-16.602
-0.147,-0.177,0.707,-105.652,54.504,-18.066
-0.185,-0.170,0.812,-117.065,50.720,-18.738
-0.197,-0.144,0.874,-124.451,45.776,-20.203
-0.189,-0.123,0.837,-127.014,36.438,-21.790
-0.220,-0.087,0.859,-135.559,29.663,-29.114
-0.269,0.002,0.986,-147.217,30.640,-38.147
-0.374,0.105,1.150,-148.132,29.968,-45.654
-0.529,0.240,1.345,-138.733,29.846,-50.293
-0.687,0.388,1.652,-126.404,30.640,-47.546
-0.822,0.424,1.932,-117.493,26.245,-36.804
-0.899,0.341,2.214,-119.080,18.677,-21.729
-0.986,0.270,2.321,-132.568,-0.244,-6.714
-0.952,0.183,2.356,-150.696,-26.978,5.310
-1.021,0.120,2.107,-161.133,-56.152,14.709
-1.078,0.130,1.693,-155.579,-73.730,17.639
-1.130,0.225,1.414,-138.123,-66.345,13.306
-1.139,0.341,1.408,-107.056,-32.715,10.071
-1.078,0.370,1.639,-65.857,12.268,12.268
-1.033,0.401,1.986,-31.616,44.373,15.869
-0.980,0.462,2.389,-10.132,61.707,22.461
-0.927,0.630,2.638,5.737,61.646,32.532
-0.828,0.730,2.707,16.418,46.448,48.523
-0.776,0.809,2.569,16.785,24.841,68.115
-0.627,0.764,2.389,18.860,10.559,90.637
-0.432,0.538,2.262,30.212,9.033,110.046
-0.242,0.308,2.141,41.870,8.667,119.385
-0.081,0.122,2.055,56.641,10.498,118.286
0.006,0.017,2.013,70.007,12.207,110.657
0.033,-0.051,1.999,79.346,10.803,101.624
0.052,-0.047,1.966,85.815,5.005,92.590
0.105,0.042,1.862,90.515,-5.554,84.473
0.188,0.167,1.656,91.980,-20.203,80.872
0.271,0.216,1.480,91.492,-30.518,82.764
0.387,0.156,1.331,90.088,-34.119,88.440
0.466,0.014,1.211,87.646,-35.828,93.872
0.514,-0.112,1.092,80.444,-37.720,95.337
0.551,-0.237,0.970,68.665,-40.588,90.759
0.560,-0.190,0.822,55.664,-43.030,81.360
0.592,-0.157,0.707,53.528,-41.321,72.937
0.596,-0.133,0.664,63.049,-32.715,66.162
0.642,-0.181,0.621,75.989,-25.391,63.110
0.690,-0.310,0.575,86.426,-19.348,60.242
0.747,-0.419,0.545,88.684,-13.306,54.199
0.785,-0.479,0.508,85.938,-8.057,45.105
0.797,-0.456,0.477,81.299,-3.723,33.630
0.792,-0.383,0.441,76.355,-0.183,23.010
0.785,-0.308,0.407,70.801,3.357,16.113
0.785,-0.249,0.396,61.584,7.202,11.841
0.808,-0.219,0.389,49.561,10.437,9.338
0.832,-0.223,0.417,38.635,13.428,6.531
0.832,-0.262,0.501,30.029,17.151,2.197
0.845,-0.321,0.563,26.062,20.264,-2.747
0.867,-0.354,0.632,25.269,21.423,-10.193
0.841,-0.337,0.628,23.987,14.954,-19.348
0.833,-0.267,0.585,20.203,10.437,-23.743
0.796,-0.235,0.591,13.123,11.658,-25.391
0.765,-0.224,0.620,4.822,11.108,-27.161
0.739,-0.277,0.652,3.479,11.475,-28.503
0.701,-0.342,0.683,5.005,12.085,-35.034
0.636,-0.358,0.722,7.141,12.451,-45.715
0.582,-0.340,0.761,11.475,13.428,-57.495
0.514,-0.259,0.771,15.930,12.695,-68.542
0.441,-0.170,0.771,18.188,10.559,-75.806
0.353,-0.124,0.808,15.686,10.010,-77.881

-0.897,0.052,2.011,-79.956,45.837,-15.076
-0.956,0.097,2.311,-86.426,35.217,-8.362
-0.961,0.126,2.389,-97.412,7.690,1.221
-0.986,0.308,2.195,-104.797,-21.484,11.902
-0.915,0.356,1.995,-98.206,-39.368,27.161
