aX,aY,aZ,gX,gY,gZ
0.441,0.443,1.835,-126.160,21.729,16.296
0.428,0.389,1.963,-132.385,17.944,10.681
0.459,0.301,2.048,-121.460,4.639,-0.244
0.352,0.322,2.012,-98.755,-13.733,-16.785
0.374,0.452,1.904,-75.745,-24.780,-30.518
0.330,0.574,1.766,-55.542,-30.518,-39.429
0.333,0.670,1.694,-42.786,-27.405,-42.664
0.343,0.711,1.675,-36.682,-20.081,-41.504
0.352,0.705,1.744,-36.072,-12.756,-37.720
0.379,0.633,1.873,-38.696,-8.179,-34.790
0.359,0.570,1.952,-44.739,-10.986,-34.607
0.351,0.522,1.913,-47.729,-18.555,-38.696
0.343,0.506,1.846,-37.903,-22.461,-49.011
0.299,0.508,1.855,-17.090,-17.456,-61.890
0.207,0.517,1.942,5.493,-9.460,-75.012
0.105,0.534,2.019,26.245,-5.432,-85.388
-0.033,0.570,2.086,43.945,-6.287,-91.248
-0.146,0.632,2.154,55.176,-9.766,-92.834
-0.256,0.741,2.149,61.523,-19.897,-92.957
-0.360,0.929,2.067,64.270,-34.180,-92.285
-0.466,1.100,1.971,69.092,-45.837,-89.844
-0.543,1.178,1.858,78.430,-54.565,-84.717
-0.596,1.203,1.686,86.670,-61.951,-78.308
-0.671,1.192,1.493,89.905,-67.810,-70.862
-0.732,1.187,1.306,92.468,-70.129,-61.340
-0.807,1.156,1.132,94.910,-70.129,-48.828
-0.867,1.099,0.988,94.604,-68.909,-33.508
-0.914,0.974,0.877,93.506,-67.139,-17.212
-1.007,0.901,0.690,91.309,-66.956,-3.784
-1.019,0.779,0.479,88.440,-67.139,9.949
-1.039,0.666,0.251,81.970,-66.528,20.142
-1.002,0.570,0.056,74.890,-60.669,27.588
-0.977,0.514,-0.060,74.585,-47.546,29.297
-0.949,0.469,-0.115,83.130,-29.053,28.809
-0.886,0.416,-0.115,97.839,-8.850,29.297
-0.794,0.402,-0.053,113.464,11.230,29.053
-0.710,0.402,0.049,120.605,26.306,32.104
-0.633,0.424,0.140,110.779,29.480,40.161
-0.563,0.427,0.135,91.492,21.790,52.917
-0.481,0.364,0.052,70.679,10.681,69.092
-0.403,0.254,-0.043,48.950,2.380,83.862
-0.295,0.119,-0.074,29.907,-0.427,94.360
-0.161,-0.005,-0.038,15.076,1.892,99.670
-0.041,-0.093,-0.003,3.418,4.456,98.694
0.072,-0.123,0.026,-2.502,7.507,92.957
0.185,-0.076,0.093,-4.639,13.062,83.008
0.310,-0.005,0.199,-3.418,20.813,72.998
0.427,0.072,0.346,-1.709,26.978,65.308
0.552,0.107,0.530,-4.944,30.518,61.401
0.676,0.109,0.674,-14.832,28.748,61.218
0.770,0.087,0.753,-29.053,22.278,62.012
0.847,0.066,0.770,-46.509,14.893,60.852
0.887,0.037,0.750,-60.059,10.437,56.458
0.946,0.005,0.740,-64.453,11.780,47.607
0.997,-0.010,0.779,-60.242,19.470,33.142
1.025,0.020,0.900,-48.950,31.433,14.771
1.055,0.057,1.043,-31.799,43.518,-3.662
1.056,0.067,1.167,-13.916,51.758,-18.005
1.051,0.069,1.268,-2.197,55.176,-28.381
